행정구역,무인행정수급불균형지수
서울특별시 종로구,-0.10925255479381851
서울특별시 중구,-0.1952276774033881
서울특별시 용산구,0.04652514170889238
서울특별시 성동구,0.11755967979508221
서울특별시 광진구,0.20703626827751348
서울특별시 동대문구,0.19560329639037577
서울특별시 중랑구,0.2754546364124782
서울특별시 성북구,0.29697055309513715
서울특별시 강북구,0.1356004931622814
서울특별시 도봉구,0.1808969356888536
서울특별시 노원구,0.3793482979341092
서울특별시 은평구,0.30105372868897046
서울특별시 서대문구,0.15874120760625487
서울특별시 마포구,0.24283900718989185
서울특별시 양천구,0.2640065587704925
서울특별시 강서구,0.4128930355564017
서울특별시 구로구,0.28252331864827024
서울특별시 금천구,0.1072334397582637
서울특별시 영등포구,0.22042838435296924
서울특별시 동작구,0.27431337562402125
서울특별시 관악구,0.3601286551063071
서울특별시 서초구,0.23194968290194795
서울특별시 강남구,0.3277964887305607
서울특별시 송파구,0.5001290003353851
서울특별시 강동구,0.30736188852606855
부산광역시 중구,-0.2071379824595428
부산광역시 서구,0.035571589730510764
부산광역시 동구,-0.03194394705722736
부산광역시 영도구,0.0546959100716323
부산광역시 부산진구,0.24058385759950668
부산광역시 동래구,0.2109178734430283
부산광역시 남구,0.14043941768056226
부산광역시 북구,0.1738405872603363
부산광역시 해운대구,0.25440123394576364
부산광역시 사하구,0.19065721173390787
부산광역시 금정구,0.07905515107072623
부산광역시 강서구,-0.037788411846770925
부산광역시 연제구,0.07423231404674253
부산광역시 수영구,0.0493043315210665
부산광역시 사상구,0.09079382983857966
부산광역시 기장군,0.04984344401470894
대구광역시 중구,-0.08683853740772096
대구광역시 동구,0.2510335124918334
대구광역시 서구,0.0950345408697815
대구광역시 남구,0.07508577664267117
대구광역시 북구,0.33353489247490864
대구광역시 수성구,0.31377746215417557
대구광역시 달서구,0.42080982352650625
대구광역시 달성군,0.1066281766996131
대구광역시 군위군,-0.5289428528543431
인천광역시 중구,-0.041237438266538945
인천광역시 동구,-0.15035646069324415
인천광역시 연수구,0.3182889428666162
인천광역시 남동구,0.3568181818008057
인천광역시 부평구,0.3969517010099922
인천광역시 계양구,0.15853127679445428
인천광역시 서구,0.48278609921143356
인천광역시 미추홀구,0.30585885863959456
인천광역시 강화군,-0.26215358963210117
인천광역시 옹진군,-0.6019357370849727
광주광역시 동구,-0.12933010946393675
광주광역시 서구,0.10267006218530964
광주광역시 남구,0.02799228852789562
광주광역시 북구,0.2389438874452762
광주광역시 광산구,0.22752700772583184
대전광역시 동구,0.10601609530054815
대전광역시 중구,0.14418767123472467
대전광역시 서구,0.2946504299626239
대전광역시 유성구,0.24410154708523624
대전광역시 대덕구,0.04532926326622934
울산광역시 중구,0.06797545572022239
울산광역시 남구,0.13023055744820566
울산광역시 동구,-0.029281846899883
울산광역시 북구,0.04600759124443106
울산광역시 울주군,-0.015504247248564446
세종특별자치시,0.18928844214490742
경기도 수원시,0.9574660382173956
경기도 성남시,0.6879459789190513
경기도 의정부시,0.3100245058522564
경기도 안양시,0.40169016695057436
경기도 부천시,0.613596541237886
경기도 광명시,0.06234258932329656
경기도 평택시,0.44450944998970005
경기도 동두천시,-0.022497894048870537
경기도 안산시,0.5201836336224469
경기도 고양시,0.8322602881474686
경기도 과천시,-0.1658300945332501
경기도 구리시,0.06391120764166616
경기도 남양주시,0.5186918970259836
경기도 오산시,0.13265352383751888
경기도 시흥시,0.4175850162253985
경기도 군포시,0.1653275468034568
경기도 의왕시,0.0023254615505202553
경기도 하남시,0.15571955860373016
경기도 용인시,0.8572529469474933
경기도 파주시,0.3442191795990885
경기도 이천시,0.008010769302607246
경기도 안성시,0.03340147911534688
경기도 김포시,0.3946987956139112
경기도 화성시,0.7491209983922025
경기도 광주시,0.2434048855258681
경기도 양주시,0.13744643775753623
경기도 포천시,-0.10371955875055575
경기도 여주시,-0.09811110893616068
경기도 연천군,-0.4814556720615732
경기도 가평군,-0.18538200962364623
경기도 양평군,-0.14470935366358345
강원특별자치도 춘천시,0.12611355820493286
강원특별자치도 원주시,0.24638300416239733
강원특별자치도 강릉시,0.007572876302519516
강원특별자치도 동해시,-0.048454203055900105
강원특별자치도 태백시,-0.22408096222054452
강원특별자치도 속초시,-0.2253862252491216
강원특별자치도 삼척시,-0.19428156918661021
강원특별자치도 홍천군,-0.4598472375417
강원특별자치도 횡성군,-0.7172089764790868
강원특별자치도 영월군,-0.6435588810694065
강원특별자치도 평창군,-0.3570880493579432
강원특별자치도 정선군,-0.5804430642480112
강원특별자치도 철원군,-0.5215001206612687
강원특별자치도 화천군,-0.3802587831702581
강원특별자치도 양구군,-0.42171103617009814
강원특별자치도 인제군,-0.38235656087502917
강원특별자치도 고성군,-0.33867479666403416
강원특별자치도 양양군,-0.5684576946414772
충청북도 충주시,0.033682606592353476
충청북도 제천시,-0.19276270092961084
충청북도 청주시,0.6038449557291685
충청북도 보은군,-0.6879484920350016
충청북도 옥천군,-0.36262129386195857
충청북도 영동군,-0.4358013322290707
충청북도 진천군,-0.09425050656376158
충청북도 괴산군,-0.567549243649606
충청북도 음성군,-0.1182029451486322
충청북도 단양군,-0.35769460237302564
충청북도 증평군,-0.07056352819657742
충청남도 천안시,0.47690765225768555
충청남도 공주시,-0.24761719910230956
충청남도 보령시,-0.3604181999911402
충청남도 아산시,0.13095021321791342
충청남도 서산시,-0.02088491704732981
충청남도 논산시,-0.21738881461624757
충청남도 계룡시,-0.13673730597592554
충청남도 당진시,-0.118280100068407
충청남도 금산군,-0.25582654456737136
충청남도 부여군,-0.4950970605478291
충청남도 서천군,-0.2343559515450892
충청남도 청양군,-0.6889994419232572
충청남도 홍성군,-0.16064916817407207
충청남도 예산군,-0.3313519349661324
충청남도 태안군,-0.2529025171379849
전북특별자치도 전주시,0.4670970891344501
전북특별자치도 군산시,0.13662406602581845
전북특별자치도 익산시,0.1351655311943844
전북특별자치도 정읍시,-0.18951986271729915
전북특별자치도 남원시,-0.4495819874961745
전북특별자치도 김제시,-0.13686298659573348
전북특별자치도 완주군,-0.10303161973215907
전북특별자치도 진안군,-0.9882117349958568
전북특별자치도 무주군,-0.49124894762189253
전북특별자치도 장수군,-0.5083877569927379
전북특별자치도 임실군,-0.16698496281739628
전북특별자치도 순창군,-0.3214797862094856
전북특별자치도 고창군,-0.1594642771825594
전북특별자치도 부안군,-0.4042092012000447
전라남도 목포시,0.01843515960905534
전라남도 여수시,0.041240864726544424
전라남도 순천시,0.029449708358127463
전라남도 나주시,-0.1445618320462045
전라남도 광양시,-0.04653920768001242
전라남도 담양군,-0.3757716162602337
전라남도 곡성군,-0.6406005463167357
전라남도 구례군,-0.24651145744999073
전라남도 고흥군,-0.4594541691453158
전라남도 보성군,-0.5528159072428874
전라남도 화순군,-0.4553995067198271
전라남도 장흥군,-0.435733701223772
전라남도 강진군,-0.2017961099001668
전라남도 해남군,-0.42735416101928936
전라남도 영암군,-0.3265821253955297
전라남도 무안군,-0.13631968666731978
전라남도 함평군,-0.417933893148035
전라남도 영광군,-0.42218518851646325
전라남도 장성군,-0.27410473896206183
전라남도 완도군,-0.4136558451624315
전라남도 진도군,-0.602666232470869
전라남도 신안군,-0.5215314468166099
경상북도 포항시,0.2937858055459288
경상북도 경주시,0.05111577157072869
경상북도 김천시,-0.1120010695088065
경상북도 안동시,-0.13131911180684247
경상북도 구미시,0.2352851440611642
경상북도 영주시,-0.2434418532351756
경상북도 영천시,-0.21328741934576612
경상북도 상주시,-0.3370980286799175
경상북도 문경시,-0.4618536062533257
경상북도 경산시,0.1732310594926505
경상북도 의성군,-0.6065297573656951
경상북도 청송군,-0.48688532422030656
경상북도 영양군,-0.5995166751357985
경상북도 영덕군,-0.6640152033888678
경상북도 청도군,-0.35159898668995837
경상북도 고령군,-0.34018820182634474
경상북도 성주군,-0.40260705448677825
경상북도 칠곡군,-0.0819009174390927
경상북도 예천군,-0.33219161671147585
경상북도 봉화군,-0.4875160426976508
경상북도 울진군,-0.479423445514631
경상북도 울릉군,-0.6118654263084913
경상남도 진주시,0.2082316332513135
경상남도 통영시,-0.11396335693079081
경상남도 사천시,-0.11016589742153984
경상남도 김해시,0.4134453107473557
경상남도 밀양시,-0.2145911806513599
경상남도 거제시,-0.04870542225187807
경상남도 양산시,0.2160411224514637
경상남도 창원시,0.6755150088867942
경상남도 의령군,-0.6814890588254396
경상남도 함안군,-0.17842942038272935
경상남도 창녕군,-0.3473902478895877
경상남도 고성군,-0.2115216802208048
경상남도 남해군,-0.39345151574361925
경상남도 하동군,-0.6169962808932657
경상남도 산청군,-0.5373214420457415
경상남도 함양군,-0.20740074892388502
경상남도 거창군,-0.3178827588026045
경상남도 합천군,-0.6851238425336087
제주특별자치도 제주시,0.30333923905944987
제주특별자치도 서귀포시,-0.05536810833129327
